id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-way255712827,på kortet,,Vestermøllebroen,Højdedraget,,,,flydebro vinterbad bro sejlklub slæbested,7.0,6,skanderborg-junior-sejlklub,"56.0277467, 9.9569189",way/255712827 node/12794587810 node/12651808942 node/2613848983 way/49309014 way/902545129,ok,2026-09-24
k-way277071464,på kortet,,Amager Ro- og kajakklub,Ballonparken,,,,flydebro kajakklub roklub bro slæbested,7.0,12,amager-ro-og-kajakklub,"55.6548625, 12.5634480",way/277071464 way/316317157 way/316317946 way/1205696229 way/227478732 way/227478734 way/277071461 way/277071466 way/316317984 way/316317985 way/316317986 way/607958921,ok,2026-09-24
k-way286593233,,,Frederikshavn Roklub,Apholmen,,,,flydebro kajakklub roklub bro slæbested,7.0,17,,"57.4642833, 10.5356500",way/286593233 way/712109859 way/96295601 way/96295607 way/96295632 way/96295642 way/96295664 way/113958032 way/113958033 way/286593234 way/343782153 way/343782154 way/343782155 way/459374259 way/712109858 way/96295636 way/96295638,ok,2026-09-24
k-way291168261,,,Roklubben Øresund,Kastrup,,,,flydebro kajakklub roklub bro havn,7.0,18,,"55.6339300, 12.6549939",way/291168261 node/3224337489 way/151651558 way/151651559 way/27115742 way/291168262 way/429460048 way/429460049 way/429460050 way/429460051 way/429460053 way/429460054 way/429460055 way/429460056 way/429460057 way/429460058 way/450128287 way/914540397,ok,2026-09-24
k-way316234744,,,Skovshoved Roklub,Skovshoved,,,,flydebro roklub bro sejlklub slæbested,7.0,9,,"55.7628649, 12.6001276",way/316234744 way/316234745 node/3223462425 node/11953308216 node/3223462424 node/3223462426 node/3854683419 way/383657591 way/43109704,ok,2026-09-24
k-way316318971,på kortet,,Skive Roklub,Skive,,,,flydebro roklub bro sejlklub slæbested,7.0,8,skive-roklub,"56.5741193, 9.0533347",way/316318971 node/1239175622 node/13019185857 way/1083528827 way/316318973 way/316318974 way/97705645 way/97705658,ok,2026-09-24
k-way316640351,på kortet,,Saxkjøbing Roklub,Sakskøbing,,,,flydebro roklub bro havn slæbested,7.0,12,spot-3,"54.8028720, 11.6340083",way/316640351 way/316640352 way/316640368 way/316640369 way/316640370 way/316640371 way/316640372 way/316640362 way/1038341980 way/316640363 way/316640364 way/316640367,ok,2026-09-24
k-way316663275,,,Løgstør Ro & Kajakklub,Løgstør,,,,kajakklub roklub badebro vinterbad badested bro havn,7.0,12,,"56.9665803, 9.2440645",way/316663275 way/386399657 way/385217056 node/13976190114 way/1038326480 way/1196309515 way/1196309518 way/495735331 way/495735332 way/495735333 way/495735334 way/949483176,ok,2026-09-24
k-way316891086,,,Strib Ro- og Kajakklub,Rudbækshave,,,,flydebro kajakklub roklub bro slæbested,7.0,5,,"55.5346233, 9.7680697",way/316891086 way/88455415 way/1060146701 way/316891087 way/316891089,ok,2026-09-24
k-way343785847,,,Skagen Baadelaug,Kappelborg,,,,flydebro bro havn sejlklub slæbested,7.0,13,,"57.7151831, 10.5876814",way/343785847 way/343785849 way/343785854 way/483487971 way/483487972 way/483487974 way/483487976 way/483487979 way/483487980 node/1755095782 way/1036639877 way/1204655714 way/343785853,ok,2026-09-24
k-way364640087,,,B&W Roklub,Indre By,,,,flydebro roklub bro havn slæbested,7.0,11,,"55.6939291, 12.5982521",way/364640087 way/364640089 way/364640090 way/364640091 way/432975942 way/432975943 way/432975944 node/3224307434 node/3224307864 way/27201116 way/316320456,ok,2026-09-24
k-way407485327,,,Læsø Roklub,Vesterø Havn,,,,flydebro roklub bro havn slæbested,7.0,17,,"57.2962430, 10.9253130",way/407485327 way/407485333 way/407486108 way/407486658 way/309257240 node/4095367994 way/317010660 way/317188853 way/317188857 way/407485329 way/407485332 way/407485334 way/407485336 way/407486110 way/407486653 way/407486654 way/407486656,ok,2026-09-24
k-way436834941,på kortet,,Aalborg Kajakklub,Vestbyen,,,,flydebro kajakklub roklub bro slæbested,7.0,16,aalborg-roklub,"57.0577793, 9.9062525",way/436834941 way/436834942 way/436834943 way/436834944 way/436834945 way/436834946 node/12287549401 way/1493614109 way/1493614110 way/1493614111 way/1493614112 node/3887301697 node/4346963059 node/4346963063 node/4346963064 node/4346963065,ok,2026-09-24
k-way56053396,,,A,Årøsund,,,,flydebro sup bro havn slæbested,7.0,12,,"55.2628286, 9.7080064",way/56053396 way/56053399 way/56053408 node/13011967506 node/703580874 way/1486980838 way/1486980839 way/1486980840 way/56053400 way/56053407 way/608726481 way/608726486,ok,2026-09-24
k-way923195852,på kortet,,Østre Søbad,Sydbyen,,,,flydebro badebro vinterbad badested bro,7.0,6,almind-soe-oestre-soebad,"56.1475119, 9.5559004",way/923195852 way/923195853 node/12525932278 node/13979796498 node/8593151232 way/69272513,ok,2026-09-24
k-node11486138944,på kortet,,Struer Havn,Struer,,,,flydebro bro havn sejlklub,6.5,10,spot-17,"56.4945120, 8.5915812",node/11486138944 way/1236847662 node/13013581783 node/9555514943 way/1050545427 way/171026422 way/171026424 way/171026427 way/171026428 way/457413680,ok,2026-09-24
